id,nme,shortnme
0,NoAccession,NoShortName
1,cd00001,PTS_IIB_man
2,cd00002,YbaK_deacylase
3,cd00003,PNPsynthase
4,cd00004,Sortase
5,cd00005,CBM9_like_1
6,cd00006,PTS_IIA_man
7,cd00007,35EXOc
8,cd00008,PIN_53EXO-like
9,cd00009,AAA
10,cd00010,AAI_LTSS
11,cd00011,BAR_Arfaptin_like
12,cd00012,ASKHA_ATPase-like
13,cd00013,ADF_gelsolin
14,cd00015,ALBUMIN
15,cd00016,ALP_like
16,cd00017,ANATO
17,cd00018,AP2
18,cd00019,AP2Ec
19,cd00020,ARM
20,cd00021,Bbox_SF
21,cd00022,BIR
22,cd00023,BBI
23,cd00025,BPI1
24,cd00026,BPI2
25,cd00027,BRCT
26,cd00028,B_lectin
27,cd00029,C1
28,cd00030,C2
29,cd00031,CA_like
30,cd00032,CASc
31,cd00033,CCP
32,cd00014,CH_SF
33,cd00024,CD_CSD
34,cd00034,CSD
35,cd00035,ChtBD1
36,cd00036,ChtBD3
37,cd00037,CLECT
38,cd00038,CAP_ED
39,cd00039,COLIPASE
40,cd00040,CSF2
41,cd00041,CUB
42,cd00042,CY
43,cd00043,CYCLIN_SF
44,cd00044,CysPc
45,cd00045,DED
46,cd00046,SF2-N
47,cd00047,PTPc
48,cd00048,DSRM_SF
49,cd00049,MH1
50,cd00050,MH2
51,cd00051,EFh
52,cd00052,EH
53,cd00053,EGF
54,cd00054,EGF_CA
55,cd00055,EGF_Lam
56,cd00056,ENDO3c
57,cd00057,FA58C
58,cd00058,beta-trefoil_FGF
59,cd00059,FH_FOX
60,cd00060,FHA
61,cd00061,FN1
62,cd00062,FN2
63,cd00063,FN3
64,cd00064,FU
65,cd00065,FYVE_like_SF
66,cd00066,G-alpha
67,cd00067,GAL4
68,cd00068,GGL
69,cd00069,GHB_like
70,cd00070,GLECT
71,cd00071,GMPK
72,cd00072,GYF
73,cd00073,H15
74,cd00074,HFD_H2A
75,cd00075,HATPase
76,cd00076,HFD_SF
77,cd00077,HDc
78,cd00078,HECTc
79,cd00079,HELICc
80,cd00080,H3TH_StructSpec-5'-nucleases
81,cd00081,Hint
82,cd00082,HisKA
83,cd00083,bHLH_SF
84,cd00084,HMG-box_SF
85,cd00085,HNHc
86,cd00086,homeodomain
87,cd00087,FReD
88,cd00088,HPT
89,cd00089,HR1
90,cd00090,HTH_ARSR
91,cd00092,HTH_CRP
92,cd00093,HTH_XRE
93,cd00094,HX
94,cd00095,IFab
95,cd00096,Ig
96,cd00097,IG_like
97,cd00098,IgC1
98,cd00099,IgV
99,cd00100,beta-trefoil_IL1
100,cd00101,IlGF_like
101,cd00102,IPT
102,cd00103,IRF
103,cd00104,KAZAL_FS
104,cd00105,KH-I
105,cd00106,KISc
106,cd00107,Knot1
107,cd00108,KR
108,cd00109,Kunitz-type
109,cd00110,LamG
110,cd00112,LDLa
111,cd00113,PLAT
112,cd00114,LIGANc
113,cd00115,LMWP
114,cd00116,LRR_RI
115,cd00117,TFP
116,cd00118,LysM
117,cd00119,LYZ
118,cd00120,MADS
119,cd00121,MATH
120,cd00122,MBD
121,cd00123,DmpA_OAT
122,cd00124,MYSc
123,cd00091,NUC
124,cd00111,Trefoil
125,cd00125,PLA2c
126,cd00126,PAH
127,cd00127,DSPc
128,cd00128,PIN_FEN1_EXO1-like
129,cd00129,PAN_APPLE
130,cd00130,PAS
131,cd00131,PAX
132,cd00132,CRIB
133,cd00133,PTS_IIB
134,cd00134,PBPb
135,cd00135,PDGF
136,cd00136,PDZ_canonical
137,smart00002,PLP
138,smart00003,NH
139,smart00004,NL
140,smart00005,DEATH
141,smart00006,A4_EXTRA
142,smart00008,HormR
143,smart00013,LRRNT
144,smart00014,acidPPc
145,smart00015,IQ
146,smart00016,OPR
147,smart00017,OSTEO
148,smart00018,PD
149,smart00019,SF_P
150,smart00020,Tryp_SPc
151,smart00021,DAX
152,smart00022,PLAc
153,smart00023,COLIPASE
154,smart00025,Pumilio
155,smart00026,EPEND
156,smart00027,EH
157,smart00028,TPR
158,smart00029,GASTRIN
159,smart00030,CLb
160,smart00031,DED
161,smart00032,CCP
162,smart00033,CH
163,smart00034,CLECT
164,smart00035,CLa
165,smart00036,CNH
166,smart00037,CNX
167,smart00038,COLFI
168,smart00039,CRF
169,smart00040,CSF2
170,smart00041,CT
171,smart00042,CUB
172,smart00043,CY
173,smart00044,CYCc
174,smart00045,DAGKa
175,smart00046,DAGKc
176,smart00047,LYZ2
177,smart00048,DEFSN
178,smart00049,DEP
179,smart00050,DISIN
180,smart00051,DSL
181,smart00052,EAL
182,smart00053,DYNc
183,smart00054,EFh
184,smart00055,FCH
185,smart00057,FIMAC
186,smart00058,FN1
187,smart00059,FN2
188,smart00060,FN3
189,smart00061,MATH
190,smart00062,PBPb
191,smart00063,FRI
192,smart00064,FYVE
193,smart00065,GAF
194,smart00066,GAL4
195,smart00067,GHA
196,smart00068,GHB
197,smart00069,GLA
198,smart00070,GLUCA
199,smart00071,Galanin
200,smart00072,GuKc
201,smart00073,HPT
202,smart00074,HR1
203,smart00075,HYDRO
204,smart00076,IFabd
205,smart00077,ITAM
206,smart00078,IlGF
207,smart00079,PBPe
208,smart00080,LIF_OSM
209,smart00082,LRRCT
210,smart00084,NMU
211,smart00085,PA2c
212,smart00086,PAC
213,smart00087,PTH
214,smart00088,PINT
215,smart00089,PKD
216,smart00090,RIO
217,smart00091,PAS
218,smart00092,RNAse_Pc
219,smart00093,SERPIN
220,smart00094,TR_FER
221,smart00095,TR_THY
222,smart00096,UTG
223,smart00097,WNT1
224,smart00098,alkPPc
225,smart00099,btg1
226,smart00100,cNMP
227,smart00101,14_3_3
228,smart00102,ADF
229,smart00103,ALBUMIN
230,smart00104,ANATO
231,smart00105,ArfGap
232,smart00107,BTK
233,smart00108,B_lectin
234,smart00109,C1
235,smart00110,C1Q
236,smart00111,C4
237,smart00112,CA
238,smart00113,CALCITONIN
239,smart00114,CARD
240,smart00115,CASc
241,smart00116,CBS
242,smart00118,SAPB
243,smart00119,HECTc
244,smart00120,HX
245,smart00121,IB
